datetime,position,value
2014-10-30 18:20:22,ai5,0.00181,Center Anemometer 7'6
2014-10-30 18:20:22,ai6,0.01256,E Anemometer 4'
2014-10-30 18:20:22,ai7,-0.00808,N Anemometer 4'
2014-10-30 18:20:22,ai8,0.0032,N Anemometer 7'6
2014-10-30 18:20:22,ai9,-0.00102,S Setra
2014-10-30 18:20:22,ai10,-0.00095,E Outer Setra
2014-10-30 18:20:22,ai11,-0.00246,NW P26
2014-10-30 18:20:22,ai12,-0.00098,E Inner Setra
2014-10-30 18:20:22,ai13,-0.001,N Setra
2014-10-30 18:20:23,ai0,-0.00411,NE Anemometer 4'
2014-10-30 18:20:23,ai1,-0.00063,SW Anemometer 4'
2014-10-30 18:20:23,ai2,0.4228,SE Anemometer 4'
2014-10-30 18:20:23,ai3,-0.0045,W Anemometer 4'
2014-10-30 18:20:23,ai4,-0.00186,Center Anemometer 4'
2014-10-30 18:20:23,ai5,-0.00394,Center Anemometer 7'6
2014-10-30 18:20:23,ai6,-0.00799,E Anemometer 4'
2014-10-30 18:20:23,ai7,0.00137,N Anemometer 4'
2014-10-30 18:20:23,ai8,-0.00666,N Anemometer 7'6
2014-10-30 18:20:23,ai9,-0.00105,S Setra
2014-10-30 18:20:23,ai10,-0.00094,E Outer Setra
2014-10-30 18:20:23,ai11,-0.00252,NW P26
2014-10-30 18:20:23,ai12,-0.00098,E Inner Setra
2014-10-30 18:20:23,ai13,-0.001,N Setra
2014-10-30 18:20:24,ai0,0.00165,NE Anemometer 4'
2014-10-30 18:20:24,ai1,0.00101,SW Anemometer 4'
2014-10-30 18:20:24,ai2,0.24808,SE Anemometer 4'
2014-10-30 18:20:24,ai3,-0.00039,W Anemometer 4'
2014-10-30 18:20:24,ai4,0.00431,Center Anemometer 4'
2014-10-30 18:20:24,ai5,-0.00189,Center Anemometer 7'6
2014-10-30 18:20:24,ai6,-0.0006,E Anemometer 4'
2014-10-30 18:20:24,ai7,0.00261,N Anemometer 4'
2014-10-30 18:20:24,ai8,-0.00378,N Anemometer 7'6
2014-10-30 18:20:24,ai9,-0.00105,S Setra
2014-10-30 18:20:24,ai10,-0.00101,E Outer Setra
2014-10-30 18:20:24,ai11,-0.00253,NW P26
2014-10-30 18:20:24,ai12,-0.00095,E Inner Setra
2014-10-30 18:20:24,ai13,-0.001,N Setra
2014-10-30 18:20:25,ai0,0.00124,NE Anemometer 4'
